,alpha,beta,gamma,tau,scf_bc,nn_scf_bc
0,4,0.2,8,0.2,1.322984627,1.3915896
1,13,0.2,8,0.2,1.286372032,1.3540225
2,22,0.2,8,0.2,1.286632132,1.3519758
3,31,0.2,8,0.2,1.286826091,1.3502884
4,40,0.2,8,0.2,1.286781855,1.3489746
5,4,0.3,8,0.2,3.377927192,2.8969107
6,13,0.3,8,0.2,3.531720802,2.8219151
7,22,0.3,8,0.2,3.532126627,2.8361425
8,31,0.3,8,0.2,3.532043308,2.8459969
9,40,0.3,8,0.2,3.532037993,2.8542812
10,4,0.4,8,0.2,2.657882623,2.8143563
11,13,0.4,8,0.2,2.501056729,2.5261402
12,22,0.4,8,0.2,2.501278147,2.5324419
13,31,0.4,8,0.2,2.501292309,2.5456617
14,40,0.4,8,0.2,2.501516053,2.5577564
15,4,0.5,8,0.2,2.57636983,2.543619
16,13,0.5,8,0.2,2.241018857,2.2392604
17,22,0.5,8,0.2,2.23656079,2.254845
18,31,0.5,8,0.2,2.236559986,2.2874343
19,40,0.5,8,0.2,2.236609259,2.312095
20,4,0.6,8,0.2,2.456663301,2.2369514
21,13,0.6,8,0.2,2.055737112,2.071542
22,22,0.6,8,0.2,2.04388881,2.0697603
23,31,0.6,8,0.2,2.043785106,2.0979512
24,40,0.6,8,0.2,2.043755037,2.1169817
25,4,0.7,8,0.2,2.377953506,2.109915
26,13,0.7,8,0.2,1.959190525,2.021043
27,22,0.7,8,0.2,1.945347036,1.9972148
28,31,0.7,8,0.2,1.942388519,2.0190163
29,40,0.7,8,0.2,1.942384956,2.0307052
30,4,0.2,14,0.2,3.462167458,3.4754066
31,13,0.2,14,0.2,3.753945498,3.7157702
32,22,0.2,14,0.2,3.756465974,3.7371585
33,31,0.2,14,0.2,3.75679772,3.747201
34,40,0.2,14,0.2,3.756759929,3.7530103
35,4,0.3,14,0.2,2.816644276,2.9844744
36,13,0.3,14,0.2,2.741376937,2.7959902
37,22,0.3,14,0.2,2.742329672,2.7901967
38,31,0.3,14,0.2,2.742622832,2.7666237
39,40,0.3,14,0.2,2.742674024,2.7465029
40,4,0.4,14,0.2,2.945213929,2.8722472
